City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Mayo,US,2021-06-08 14:03:11,38.8876,-76.5119,83.95,80,100,1.99
169,Arraial Do Cabo,BR,2021-06-08 14:06:37,-22.9661,-42.0278,75.06,78,75,12.66
170,Vanimo,PG,2021-06-08 14:06:37,-2.6741,141.3028,78.84,85,92,1.83
171,Pitimbu,BR,2021-06-08 14:06:38,-7.4706,-34.8086,84.79,76,100,10.16
172,Salalah,OM,2021-06-08 14:06:38,17.0151,54.0924,86.09,79,75,12.66
173,Krasnoselkup,RU,2021-06-08 14:06:38,65.7,82.4667,46.71,45,86,10.02
174,Hamilton,US,2021-06-08 14:06:39,39.1834,-84.5333,77.74,89,75,1.01
175,Namibe,AO,2021-06-08 14:05:30,-15.1961,12.1522,81.14,45,72,19.17
176,Luderitz,NA,2021-06-08 14:06:39,-26.6481,15.1594,63.1,74,0,6.55
177,Nesna,NO,2021-06-08 14:06:39,66.1967,13.0213,70.57,87,99,4.07
178,Sardarshahr,IN,2021-06-08 14:06:40,28.4333,74.4833,104.41,20,0,9.75
179,Agalatovo,RU,2021-06-08 14:06:40,60.2195,30.2739,70.74,32,27,8.84
180,Sanlucar De Barrameda,ES,2021-06-08 14:06:40,36.7781,-6.3515,98.69,51,0,10.98
181,Severo-Kurilsk,RU,2021-06-08 14:06:41,50.6789,156.125,42.42,96,100,5.91
182,Palauig,PH,2021-06-08 14:06:41,15.435,119.9045,81.36,82,100,7.45
183,Wiwili,NI,2021-06-08 14:06:41,13.6268,-85.8254,79.57,74,66,3.69
184,Mahebourg,MU,2021-06-08 14:06:41,-20.4081,57.7,72.25,65,92,17.74
185,Sampit,ID,2021-06-08 14:06:42,-2.5333,112.95,76.78,90,73,2.66
186,Pangnirtung,CA,2021-06-08 14:06:42,66.1451,-65.7125,37.4,87,75,4.61
187,Bejucal,CU,2021-06-08 14:06:42,22.9286,-82.3886,81.63,69,20,9.22
188,Chiredzi,ZW,2021-06-08 14:06:43,-21.05,31.6667,69.85,46,97,4.45
189,Brigantine,US,2021-06-08 14:04:29,39.4101,-74.3646,88.27,70,1,8.48
190,Dukat,RU,2021-06-08 14:06:43,62.55,155.55,43.23,88,100,4.5
191,Amahai,ID,2021-06-08 14:06:44,-3.3333,128.9167,78.13,87,91,2.75
192,Oussouye,SN,2021-06-08 14:06:44,12.485,-16.5469,93.97,46,14,11.56
193,Lulea,SE,2021-06-08 14:06:44,65.5842,22.1547,66.27,59,0,9.22
194,Lompoc,US,2021-06-08 14:06:44,34.6391,-120.4579,57.78,76,90,4.61
195,Kamaishi,JP,2021-06-08 14:06:45,39.2667,141.8833,60.53,89,1,7.7
196,Chuy,UY,2021-06-08 14:06:45,-33.6971,-53.4616,63.1,79,97,12.68
197,Telde,ES,2021-06-08 14:06:46,27.9924,-15.4192,73.62,69,0,27.63
198,Kimbe,PG,2021-06-08 14:06:46,-5.5502,150.1429,76.39,93,86,3.56
