City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Sinnamary,GF,80.69,scattered clouds,5.3833,-52.95,Sinnamary
510,Kaka,TM,89.92,clear sky,37.3482,59.6143,Kaakhka
512,Sisian,AM,79.16,scattered clouds,39.5256,46.0251,Sisian
513,Ingenbohl,CH,71.62,broken clouds,47.0046,8.6148,Schwyz
516,Nago,JP,77.85,overcast clouds,26.5881,127.9761,Nago
518,Kosovo Polje,XK,76.96,few clouds,42.6394,21.0961,Pristina
519,Sambava,MG,74.89,clear sky,-14.2667,50.1667,Sambava
526,Lixourion,GR,84.06,clear sky,38.2019,20.4314,Argostolion
527,Custoias,PT,87.08,clear sky,41.1053,-7.321000000000001,São João da Pesqueira
528,Alta Floresta,BR,86.34,broken clouds,-9.8756,-56.0861,Alta Floresta
530,Broome,US,78.93,broken clouds,42.2506,-75.833,Chenango Forks
531,Necocli,CO,79.95,broken clouds,8.4234,-76.786,Necoclí
533,Bairiki,KI,77.0,broken clouds,1.3292,172.9752,Bairiki
535,Ha Giang,VN,76.73,broken clouds,22.8333,104.9833,Hà Giang
536,Benguela,AO,83.97,broken clouds,-12.5763,13.4055,Benguela
537,East Hemet,US,72.32,broken clouds,33.74,-116.9389,Hemet
539,Conde,BR,80.82,overcast clouds,-7.2597,-34.9075,João Pessoa
540,Adjumani,UG,84.6,scattered clouds,3.3779,31.7909,Adjumani
542,Inirida,CO,86.63,overcast clouds,3.8653,-67.9239,Inírida
543,Salinopolis,BR,84.13,moderate rain,-0.6136,-47.3561,Salinópolis
544,Auki,SB,75.56,broken clouds,-8.7676,160.7034,Auki
547,Taywarah,AF,74.21,broken clouds,33.35,64.4167,Qal'eh-i-Ghor
548,Punta Gorda,US,89.01,scattered clouds,26.9298,-82.0454,Port Charlotte
551,La Libertad,EC,73.51,broken clouds,-2.2333,-80.9,La Libertad
552,Along,IN,72.59,overcast clouds,28.1667,94.7667,Nyingchi
556,Vaitape,PF,79.11,overcast clouds,-16.5167,-151.75,Vaitape
557,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Kampung Parang
561,Plouzane,FR,73.49,few clouds,48.3833,-4.6167,Brest
562,Lagos,NG,80.11,overcast clouds,6.5833,3.75,Lekki
564,Pemba,MZ,77.72,light rain,-12.974,40.5178,Pemba
565,Tire,TR,86.74,few clouds,38.0888,27.7351,Tire
569,Agua Verde,MX,88.12,overcast clouds,22.9,-106.05,Palmas
572,Leiyang,CN,80.37,overcast clouds,26.4024,112.8591,Hengyang
573,Kieta,PG,80.33,overcast clouds,-6.2167,155.6333,Kieta
574,Salou,ES,85.84,few clouds,41.0766,1.1416,Cambrils
578,Morden,CA,72.23,overcast clouds,49.1919,-98.1014,Morden
583,Aliaga,PH,80.1,overcast clouds,15.5167,120.8667,Cabanatuan City
584,Boysun,UZ,80.92,clear sky,38.2061,67.1986,Baysun
588,Pocoes,BR,80.17,broken clouds,-14.5297,-40.3653,Poções
589,Maumere,ID,77.5,overcast clouds,-8.6199,122.2111,Maumere
592,Ranong,TH,79.99,overcast clouds,9.9658,98.6348,Bang Rin
593,Owensboro,US,78.89,few clouds,37.7742,-87.1133,Owensboro
594,Marsaxlokk,MT,77.61,few clouds,35.8419,14.5431,Tarxien
595,Boyolangu,ID,76.08,overcast clouds,-8.1181,111.8935,Tulungagung
597,Pokhara,NP,73.53,overcast clouds,28.2333,83.9833,Pokhara
598,Tomatlan,MX,86.65,scattered clouds,19.9333,-105.25,Tomatlán
600,Marathon,US,81.99,clear sky,44.9,-89.7668,Krautkramer Brothers
601,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Boa Vista
603,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Wilson Hill
606,Point Pedro,LK,83.19,overcast clouds,9.8167,80.2333,Point Pedro
607,Jesus Carranza,MX,85.39,overcast clouds,17.4333,-95.0333,Jesús Carranza
609,Harrison,US,87.82,broken clouds,30.4091,-89.0436,Gulfport
610,Salisbury,GB,74.28,broken clouds,51.0693,-1.7957,Salisbury
612,Escarcega,MX,88.5,overcast clouds,18.6089,-90.7454,Escárcega
614,Mykolayivka,UA,73.44,overcast clouds,47.5414,30.7561,Mykolaivka
617,Muisne,EC,78.21,overcast clouds,0.6,-80.0333,Muisne
619,Sungairaya,ID,79.66,overcast clouds,0.7,108.9,Soengairaja
621,Ambulu,ID,76.26,broken clouds,-8.345,113.6058,Sabrang
623,Thessalon,CA,79.09,broken clouds,46.2501,-83.5666,Thessalon
624,Buta,CD,87.33,broken clouds,2.7858,24.73,Buta
626,Bujaru,BR,82.42,overcast clouds,-1.515,-48.0447,Bujaru
627,Murici,BR,79.09,broken clouds,-9.3067,-35.9433,Murici
628,Tupanatinga,BR,78.28,broken clouds,-8.7533,-37.3397,Tupanatinga
629,Buala,SB,79.45,overcast clouds,-8.145,159.5921,Buala
631,Cavalcante,BR,82.62,overcast clouds,-13.7975,-47.4583,Cavalcante
635,Alquizar,CU,84.69,overcast clouds,22.8058,-82.5842,Alquízar
636,Shache,CN,86.72,broken clouds,38.4167,77.2406,Kashgar Prefecture
639,Surt,LY,74.59,few clouds,31.2089,16.5887,Sirte
643,Linhares,BR,85.5,clear sky,-19.3911,-40.0722,Linhares
644,Paita,PE,77.56,broken clouds,-5.0892,-81.1144,Paita District
648,Kendari,ID,75.78,scattered clouds,-3.945,122.4989,Kendari
650,Placido De Castro,BR,80.37,overcast clouds,-10.3353,-67.1856,Plácido de Castro
652,Xuddur,SO,82.26,broken clouds,4.1213,43.8894,Xuddur
654,Conroe,US,87.62,scattered clouds,30.3119,-95.456,Conroe
655,Laurinburg,US,79.02,overcast clouds,34.7741,-79.4628,Laurinburg
656,Crasna,RO,79.16,clear sky,47.1667,22.9,Crasna
657,Coruripe,BR,80.62,overcast clouds,-10.1256,-36.1756,Coruripe
659,Mazagao,BR,89.65,broken clouds,-0.115,-51.2894,Mazagão
660,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Alofi
661,Menongue,AO,81.09,broken clouds,-14.6585,17.691,Menongue
662,Malartic,CA,71.02,broken clouds,48.1335,-78.1328,Malartic
663,Ipixuna,BR,82.35,overcast clouds,-1.7625,-48.8043,Colônia Velha
664,Tabou,CI,83.64,overcast clouds,4.423,-7.3528,Tabou
668,Pilar,BR,78.73,broken clouds,-9.5972,-35.9567,Pilar
671,Susehri,TR,70.56,scattered clouds,40.1644,38.0867,Suşehri
676,Punto Fijo,VE,83.98,overcast clouds,11.6956,-70.1996,Punto Fijo
